name,price,link
"Smart TV Roku 32"" LED HD Philco PTV32G70RCH Wi-Fi 2 HDMI 1 USB Dolby Audio","R$ 1.299,00",https://www.americanas.com.br/produto/3805075106?pfm_carac=televisao&pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6283e1f4234ca7e6fd5e2c8d&buyboxToken=smartbuybox-acom-v2-36ba15f3-7ef7-4eb3-850d-389df60ba66a-2022-08-26 01:58:20+0000
"Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta","R$ 1.399,99",https://www.americanas.com.br/produto/1618074503?pfm_carac=televisao&pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0ac4e79bf8430cbf2d99b&buyboxToken=smartbuybox-acom-v2-db3c1a79-3e7a-49dc-9d44-d0b4a376aeb1-2022-08-26 01:58:20+0000
"Smart TV 50"" UHD Samsung 4k 50AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In","R$ 2.799,99",https://www.americanas.com.br/produto/3069506106?pfm_carac=televisao&pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb2152131c3c81e23044&buyboxToken=smartbuybox-acom-v2-dd801400-4144-4432-97c8-aac3caf38a6a-2022-08-26 01:58:20+0000
"Smart Tv 43"" UHD Samsung 4k 43AU7700 Processador Crystal 4k Tela Sem Limites Alexa Built In Controle Único","R$ 2.299,99",https://www.americanas.com.br/produto/3068549702?pfm_carac=televisao&pfm_index=4&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60931b7b52131c3c81549051&buyboxToken=smartbuybox-acom-v2-f0f219a2-5df4-424f-92f2-efecfdac84d4-2022-08-26 01:58:20+0000
"Smart TV Android 55"" TCL Led 4K UHD 55P725 HDR10 Bluetooth Google Assistant Borda Ultrafina Wi-Fi","R$ 2.699,99",https://www.americanas.com.br/produto/5021465237?pfm_carac=televisao&pfm_index=5&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=62d7f1c04862ecc3953c29ac&buyboxToken=smartbuybox-acom-v2-87faaf8c-8ac4-430e-8844-cb0ee6514e51-2022-08-26 01:58:20+0000
"Smart TV LG 50"" 4K UHD 50UQ8050 Wi-Fi Bluetooth HDR Nvidia GEFORCE NOW ThinQ Smart Magic Google Alexa","R$ 2.799,99",https://www.americanas.com.br/produto/5362623336?pfm_carac=televisao&pfm_index=6&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=62bf77e32376eb9c7287ad99
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen,"R$ 1.999,00",https://www.americanas.com.br/produto/1704351001?pfm_carac=televisao&pfm_index=7&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f15e85379bf8430cbee5331&buyboxToken=smartbuybox-acom-v2-10909027-3b18-4ca6-b897-d071103a463a-2022-08-26 01:58:20+0000
Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta,"R$ 1.999,99",https://www.americanas.com.br/produto/1618074407?pfm_carac=televisao&pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0acc379bf8430cbf3e907&buyboxToken=smartbuybox-acom-v2-996c295c-f576-4d8d-90c1-f861659b38b1-2022-08-26 01:58:20+0000
"TV LED 39"" Philco HD com Conversor Digital 3 HDMI 1 USB Som Surround 60Hz - Preta","R$ 1.196,98",https://www.americanas.com.br/produto/134139729?pfm_carac=televisao&pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fad9e73c5c9bbe5fc0e6eb4&buyboxToken=smartbuybox-acom-v2-2237a64b-989c-40d7-b57a-149f3bfc9cf6-2022-08-26 01:58:20+0000
"Smart TV Semp Roku Led 50¿ Rk8500 4k UHD HDR Wifi Dual Band, 4 Hdmi, 1 Usb, Com Controle Por Aplicativo","R$ 2.349,00",https://www.americanas.com.br/produto/4240755656?pfm_carac=televisao&pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6193ad72d9fd6edeec215188&buyboxToken=smartbuybox-acom-v2-5121730c-d5f6-44e5-a8bc-381066ddacb0-2022-08-26 01:58:20+0000
