name,symptoms
Acidente vascular cerebral,"O acidente vascular cerebral (AVC), também conhecido como derrame cerebral, consiste na diminuição da função neurológica decorrente de um distúrbio na circulação do sangue no cérebro.Em 85% dos casos, resulta da obstrução de um ou mais vasos sangüíneos, de forma bastante semelhante ao que acontece no infarto agudo do miocárdio – trata-se do AVC isquêmico. No restante dos casos, o AVC tem, como causa, o rompimento de um vaso, com conseqüente sangramento cerebral – é o AVC hemorrágico, do qual, aliás, deriva a alcunha de derrame. Nas duas situações, a ocorrência destrói células nervosas nas áreas que ficam privadas da circulação do sangue, afetando as funções comandadas por elas, desde a comunicação oral, passando pela locomoção, até a capacidade de julgamento.Independentemente do tipo, o AVC constitui um problema grave de saúde, sendo a primeira causa mundial de incapacidade e redução da qualidade de vida e a terceira causa de morte em todo o globo, de acordo com a Organização Mundial da Saúde (OMS).Contudo, um dos fatores determinantes para agravar ou amenizar as conseqüências é o tempo que transcorre entre o começo dos sintomas e o recebimento dos primeiros cuidados médicos. Afinal, quanto menos durar a falta de irrigação, menor será a perda de tecido cerebral. A regra, portanto, é jamais deixar para ir ao pronto-socorro no dia seguinte."
Afta,"A afta é uma ferida, tecnicamente chamada de úlcera, que aparece na mucosa interna da boca, em geral nos lábios, nas gengivas, no céu da boca, na língua e, mais raramente, na garganta. Costuma surgir de forma isolada ou múltipla e tem formato arredondado, com coloração branco-amarelada no centro e contorno avermelhado.Muito comum, a lesão regride espontaneamente em cerca de 7 a 14 dias, se for pequena, sem resultar em complicações. Contudo, essa condição também se apresenta como sintoma de outras doenças, razão pela qual sua recorrência ou mesmo sua persistência merecem avaliação médica e/ou odontológica."
Aids,"A aids, ou síndrome da imunodeficiência adquirida, consiste em uma infecção que provoca a falência do sistema imunológico, ou seja, das defesas naturais, impedindo que o organismo combata adequadamente os agentes causadores de enfermidades. Dessa forma, o corpo humano fica sujeito a infecções e a tumores que não o afetariam numa situação de bom funcionamento da imunidade, razão pela qual tais moléstias são chamadas de doenças oportunistas.O Ministério da Saúde estima que, atualmente, haja 630 mil pessoas com a doença no Brasil. O primeiro caso foi identificado em 1980 e, desde então, muita coisa mudou no que diz respeito a esse novo mal do século. Diferentemente de 20 anos atrás, quando era associada a homossexuais e a usuários de drogas, hoje a aids atinge homens e mulheres indiscriminadamente e muitas crianças já nascem soropositivas, ou seja, com o vírus da imunodeficiência humana, o HIV.Da mesma forma, receber esse diagnóstico deixou de ser uma sentença de morte. Apesar de ainda não haver cura para a síndrome, a aids caminha para ser uma doença crônica. Dados oficiais já apontaram um aumento de cinco anos na sobrevida dos doentes entre 1993 e 2003, particularmente graças aos avanços nos tratamentos. A tendência é melhorar – até porque as pesquisas não param nessa área."
Amigdalite,"A amigdalite é a inflamação das amígdalas, ou seja, das estruturas localizadas na parte posterior da garganta, que têm a função de proteger o corpo, produzindo anticorpos e impedindo que infecções na cavidade oral e nas regiões vizinhas se alastrem por todo o organismo.Justamente por funcionarem como uma barreira, essas estruturas são muito suscetíveis a processos infecciosos. Quando isso ocorre, as amígdalas se inflamam, ficam inchadas, doloridas e dificultam a passagem dos alimentos para o aparelho digestivo.Estima-se que ocorram 10 milhões de casos de amigdalite a cada ano no Brasil. Apesar de ser um problema corriqueiro na infância, a amigdalite não pode prescindir de um bom diagnóstico e de um tratamento adequado. Isso porque uma infecção bacteriana inadequadamente tratada pode evoluir para febre reumática, com consequentes complicações cardíacas no futuro, ou mesmo ser precursora de uma doença renal, a nefrite."
Anemia,"A anemia é um distúrbio do sangue caracterizado pela diminuição da quantidade de hemoglobina, o pigmento que confere cor aos glóbulos vermelhos – também chamados de hemácias ou eritrócitos –, cuja função é transportar oxigênio dos pulmões para todas as células do corpo. Essa diminuição pode ser aguda, resultante da perda súbita de sangue ou pela destruição aguda dos glóbulos vermelhos, ou crônica, quando a diminuição da hemoglobina se instala de forma mais lenta e geralmente progressiva, sendo produto de variadas causas.A diminuição da hemoglobina determina déficit de oxigênio em todos os órgãos do corpo. Contudo, os mais afetados por essa condição são mesmo o sistema nervoso central, o coração e os músculos. A anemia é a doença crônica de maior freqüência em todo o mundo e tem especial predileção por crianças abaixo de 2 anos e por mulheres.Segundo a Organização Mundial da Saúde (OMS), 30% da população mundial é anêmica. Apesar da elevada prevalência, essa é uma doença de fácil tratamento, visto que, na maior parte dos casos, está relacionada com a deficiência de ferro, mineral que faz parte da composição da hemoglobina e, portanto, é essencial para a produção adequada deste pigmento"
Anemia falciforme,"A anemia falciforme é uma doença hereditária do sangue que altera a forma dos glóbulos vermelhos, também denominados hemácias. Nessa condição, a hemoglobina, o pigmento que dá cor ao sangue e responde pelo transporte de oxigênio para os tecidos e órgãos, tem suas propriedades químicas alteradas pela troca de um aminoácido em uma das cadeias que a compõem. Essa alteração resulta na mudança morfológica das células vermelhas, que assumem a forma de foice – daí o nome da anemia – e se tornam inflexíveis.Com essas características, o sangue não consegue circular bem pelos vasos de menor calibre, o que reduz o suprimento de oxigênio para o organismo e aumenta o risco de lesões nos rins, nos olhos, no cérebro, no coração, no baço, no fígado e nos pulmões, que ocorrem em decorrência de obstruções em seus pequenos vasos e artérias.Além do mais, o formato alterado das hemácias faz com que elas tenham uma duração de apenas um sexto do tempo de vida das células saudáveis. Isso causa um quadro permanente de anemia. Por todos esses fatores, o portador da doença precisa de atenção médica cuidadosa para melhorar sua qualidade de vida e reduzir o risco de complicações em órgãos vitais.Estima-se que, a cada ano, 250 mil crianças nasçam com anemia falciforme em todo o mundo, 3,5 mil delas no Brasil, especialmente entre afrodescendentes."
Aneurisma cerebral,"O aneurisma cerebral é uma dilatação que se forma na parede enfraquecida de uma artéria do cérebro. Na prática, a pressão normal do sangue, dentro do vaso, força essa região menos resistente e dá origem a uma saliência, semelhante a uma bexiga, que costuma crescer vagarosamente.O maior problema de conviver com esse afrouxamento arterial é o risco de ruptura da artéria acometida, da mesma forma que no aneurisma de aorta abdominal, e no conseqüente vazamento de sangue.Outro risco iminente está na possibilidade de esse vaso dilatado comprimir regiões cerebrais nobres e comprometer as funções que dependem delas. O fato é que um aneurisma no cérebro invariavelmente representa um acontecimento grave, que pode ser letal para um terço de quem o apresenta ou deixar sequelas neurológicas em metade das pessoas que recebem esse diagnóstico.Assim, tão importante quanto o socorro médico numa suspeita de rompimento é a descoberta precoce dessa área saliente, o que permite que o tratamento seja planejado e executado da forma menos arriscada possível.Estima-se que 5% da população tenha algum tipo de dilatação arterial, seja no cérebro, seja em alguma parte da aorta, seja nas pernas. Sozinha, porém, a incidência anual dos casos de aneurisma cerebral roto é de quatro para cada 100 mil pessoas."
Aneurisma da aorta abdominal,"O aneurisma é uma dilatação localizada e permanente em uma parede arterial, que, a princípio, pode ocorrer em qualquer vaso sangüíneo de maior calibre, mas que afeta mais freqüentemente a aorta abdominal, a maior artéria do organismo.Essa saliência geralmente ocorre na parte da aorta situada entre as artérias renais e sua bifurcação para as artérias ilíacas, acima da virilha, podendo causar várias complicações, de trombose venosa profunda nos vasos dos membros inferiores até compressão de estruturas vizinhas, como nervos e órgãos. A mais temida, porém, é o rompimento da parede da aorta, que resulta em sangramento intenso. Tal probabilidade varia conforme o diâmetro do aneurisma: quanto maior sua extensão, maior o risco de ruptura.O fato é que a suspeita de rompimento da artéria ou mesmo o rompimento propriamente dito constituem emergências médicas. Felizmente, é possível tratar a condição antes de chegar a esse extremo, desde que, evidentemente, se saiba de sua existência.Estima-se que de 2% a 5% da população masculina com mais de 60 anos seja portadora dessa dilatação, embora a maioria a desconheça"
Anorexia Nervosa,"A anorexia nervosa é um transtorno alimentar caracterizado por uma busca obsessiva pela perda de peso corporal. Nessa condição, apesar de estar visivelmente magra, a pessoa se enxerga gorda e, com medo de ganhar peso, limita a ingestão alimentar a níveis mínimos ou usa métodos para aumentar ainda mais a perda de peso.Ao contrário do que ocorre na bulimia, a quantidade de alimentos ingeridos é muito baixa e a prática de jejum ocorre sem que tenha havido nenhum abuso alimentar. Assim, há indivíduos anoréxicos que ingerem apenas 200 calorias por dia, ou seja, 10% das necessidades diárias de consumo calórico.De origem multifatorial, essa doença acomete, sobretudo, mulheres jovens na faixa dos 15 aos 25 anos, e tem sido cada vez mais freqüente em nosso meio. É uma condição mais freqüente em países ocidentais e a sua prevalência nesse grupo etário é estimada em 1 a 15%.A anorexia nervosa não deve ser vista como vaidade ou uma crise da adolescência, contornável com uma conversa em família. É uma doença que, além de desnutrição e do desequilíbrio emocional grave, pode causar sequelas importantes, tais como osteoporose precoce, depressão, arritmia cardíaca e infertilidade, sem falar no risco de caquexia, um grau extremo de fraqueza que pode ser fatal em alguns casos."
Apendicite,"A apendicite é a inflamação do apêndice, uma pequena estrutura de cerca de oito a dez centímetros, rica em glóbulos brancos, que fica na primeira porção do intestino grosso – chamada de ceco – e que não tem uma função muito bem definida no organismo, a não ser ajudar a produzir defesas naturais. Paradoxalmente, por servir de passagem para as fezes, esse órgão acaba ficando mais vulnerável à ação das bactérias contidas no material fecal.A apendicite constitui uma causa comum de dor abdominal aguda no mundo ocidental, requerendo, invariavelmente, tratamento cirúrgico. Ocorre em qualquer idade, mas tem predileção pela população mais jovem, entre a segunda e a terceira década de vida.Se não for diagnosticada e tratada a tempo, a inflamação pode provocar ruptura do apêndice, com risco de peritonite, ou seja, de infecção decorrente da entrada de fezes e material contaminado na cavidade abdominal. Esse evento costuma ser bastante grave se não tratado a tempo, pela possibilidade de a infecção se espalhar para outros órgãos e mesmo pela circulação. Por isso, quem apresenta dor abdominal contínua não deve deixar para procurar um serviço médico."
